propServerA,propServerB,bestof,model,pointServeRate,pointRate,holdRate,gameRate,setRate,winRate,expPoints,expGames,expSets,tiebreakRate,medianTGames
0.12,0.68,3,static,0.11987,0.23301,0.0032519,0.063414,0,0,15.745,0.8125,0,0,13
0.12,0.69,3,static,0.12056,0.22676,0.0026661,0.056804,0,0,15.101,0.7227,0,0,13
0.12,0.7,3,static,0.12026,0.22027,0.0030143,0.05076,0,0,14.471,0.6417,0,0,12
0.12,0.71,3,static,0.12056,0.21443,0.0029083,0.04486,0,0,13.908,0.5636,0,0,12
0.12,0.72,3,static,0.11945,0.20838,0.0029408,0.039777,0,0,13.352,0.4971,0,0,12
0.12,0.73,3,static,0.119,0.20207,0.0025376,0.035215,0,0,12.779,0.438,0,0,12
0.12,0.74,3,static,0.12115,0.19754,0.0027932,0.030515,0,0,12.368,0.3777,0,0,12
0.12,0.75,3,static,0.11937,0.19028,0.0031913,0.027332,0,0,11.749,0.3372,0,0,12
0.12,0.76,3,static,0.11989,0.18531,0.0030448,0.023382,0,0,11.337,0.2873,0,0,12
0.12,0.77,3,static,0.12046,0.17902,0.0030843,0.020368,0,0,10.822,0.2495,0,0,12
